Site,Borough,Coords - Easting,Coords - Northing,Latitude,Longitude
Aston Street,Tower Hamlets,536193,181518,51.516175,-0.038594438
Imperial Wharf Station,H&F,526277.28,176643.98,51.474665,-0.18316517
Riverlight North,Wandsworth,529524.18,177582.33,51.48237,-0.13609482
Putney Pier,Wandsworth,524000.88,175710.09,51.466783,-0.21626086
Wansey Street,Southwark,532160.27,178627.35,51.491152,-0.097764812
Boston Place,Westminster,527589.2,182009.84,51.522594,-0.16234582
Clapham Common Northside,Wandsworth,527969.71,175203.37,51.461344,-0.15933685
Binfield Road,Lambeth,530472.986,176508.879,51.472501,-0.12284667
Abyssinia Close ,Wandsworth,527435.68,175080.19,51.460359,-0.16706358
Limburg Road,Wandsworth,527553.3,175257,51.461923,-0.16530221
Page Street,Westminster,530084.91,178888.12,51.493978,-0.12755402
Rifle Place,K&C,523901.73,180429.7,51.509215,-0.21603078
Tallis Street ,City,531432.6,180916.5,51.511892,-0.10739269
Woodstock Grove,H&F,523819.67,179850.86,51.504029,-0.21741484
Sandilands Road,H&F,525680.13,176511.24,51.473611,-0.1918035
Little Brook Green,H&F,523391.86,179020.38,51.496664,-0.22386827
Hurlingham Park,H&F,524904.41,176127.16,51.470332,-0.20310631
Seymour Place,Westminster,527504.35,181755.31,51.520331,-0.16366214
Gwendwr Road,H&F,524429.82,178417.234,51.491017,-0.20913546
Ram Street,Wandsworth,525698.89,174722.25,51.45753,-0.19218
Storey's Gate,Westminster,529915.96,179632.33,51.500703,-0.12971336
Ranelagh Gardens,H&F,524653.35,175817.28,51.467601,-0.20682737
St. John's Road,Wandsworth,527343.52,175304.13,51.462393,-0.16830653
Santos Road,Wandsworth,525099.77,174654.9,51.457051,-0.20082104
Broadley Terrace,Westminster,527352.686,182221.621,51.524553,-0.16568345
Mile End Park Leisure Centre,Tower Hamlets,536597.681,182021.105,51.520597,-0.032580937
Doddington Grove,Southwark,531808.81,178148.438,51.486929,-0.10301069
Humbolt Road,H&F,524261.35,177545.39,51.483217,-0.21186064
Rossmore Road,Westminster,527481.21,182304.03,51.52527,-0.16379501
Prince of Wales Drive,Wandsworth,527941.72,176738.57,51.475145,-0.15918455
Grenfell Road,K&C,523978.97,180841.17,51.512901,-0.21477709
Duke Street Hill,Southwark,532844.56,180330.78,51.506296,-0.087277772
Simpson Street,Wandsworth,527152.88,176240.24,51.470847,-0.17071806
Hammersmith Town Hall,H&F,522692.17,178554.81,51.492628,-0.2340945
Crisp Road,H&F,523223.78,178064.49,51.488109,-0.22662061
Culvert Road,Wandsworth,528044.92,176289.63,51.471087,-0.15786485
Manfred Road,Wandsworth,524735.87,174769.28,51.458165,-0.20601687
Newton Street,Camden,530481.91,181362.89,51.51612,-0.12092418
Ormonde Gate,K&C,527725.63,178159.05,51.487964,-0.16177957
Park Lane,Westminster,528436.724,180119.721,51.505418,-0.15083208
Haggerston Road,Hackney,533649.41,184027.35,51.539329,-0.074284675
Hertford Road,Hackney,533313.86,183790.37,51.537278,-0.079216258
All Saints Church,K&C,524813.41,181241.632,51.516312,-0.20260897
Hortensia Road,K&C,526110.69,177429.13,51.481766,-0.18528812
Upcerne Road,K&C,526317.5,177033.59,51.478161,-0.18245022
Blenheim Crescent,K&C,524402.58,181096.88,51.515099,-0.20858024
Sirdar Road,K&C,523996.23,180622.38,51.510929,-0.21459478
Freston Road,K&C,523650.98,180841.97,51.512973,-0.21950136
South Lambeth Road,Lambeth,530321.194,177533.143,51.481747,-0.12464175
Imperial Road,H&F,525990.27,176689.44,51.475142,-0.18727899
Ingrave Street,Wandsworth,527052.18,175859.98,51.467446,-0.17229386
Queensdale Road,H&F,523902.64,180136.72,51.506582,-0.21611923
Lots Road,K&C,526550.06,177195.93,51.479565,-0.1790389
Fulham Broadway,H&F,525501.57,177209.6,51.479924,-0.1941317
Finnis Street,Tower Hamlets,534778.324,182415.886,51.524575,-0.058631835
Cadogan Close,Tower Hamlets,536785.273,184420.817,51.54211,-0.028941989
Putney Bridge Road,Wandsworth,524709.2,175195.12,51.461999,-0.2062408
Oxford Road,Wandsworth,524270.42,175049.71,51.460783,-0.21260804
Hawley Crescent ,Camden,528860.934,184089.918,51.540998,-0.14327572
Plough Terrace,Wandsworth,526850.25,175282.22,51.462306,-0.1754072
Snowsfields,Southwark,533108.93,179876.31,51.502154,-0.083647326
Grant Road East,Wandsworth,527008.27,175574,51.464894,-0.17302926
Parsons Green,H&F,525128.73,176409.39,51.472817,-0.19978326
Michael Road,H&F,525849.99,176923.05,51.477277,-0.18922486
Bridge Avenue,H&F,523038.99,178502.34,51.492085,-0.22913126
Everington Street,H&F,523951.5,177553.45,51.483357,-0.21631994
Stephendale Road,H&F,525795.59,175914.26,51.468221,-0.19036088
St. Peter?s Terrace,H&F,524506.62,177075.08,51.47894,-0.20849969
Wendon Street,Tower Hamlets,536989.092,183749.523,51.53603,-0.026263065
Mile End Stadium,Tower Hamlets,536442.415,181788.258,51.518541,-0.034903714
Alfreda Street,Wandsworth,528515.79,176742.07,51.475051,-0.15092276
Chesilton Road,H&F,524697.19,176719.37,51.475698,-0.20587627
Dunston Road,Hackney,533545.94,183719.13,51.536585,-0.075900096
Ada Street,Hackney,534630.46,183650.76,51.535708,-0.060292195
Victoria Park Road,Hackney,535053.27,183741.44,51.536425,-0.054162264
Alma Road,Wandsworth,526208.73,174785.63,51.457982,-0.1848209
Star Road,H&F,524706.51,178004.32,51.487245,-0.20529345
Bouverie Street,City,531388.33,181129.55,51.513816,-0.10794707
Montserrat Road,Wandsworth,524058.96,175313.63,51.463203,-0.2155655
Thessaly Road North,Wandsworth,529354.31,177015.8,51.477314,-0.13874909
Barons Court Station,H&F,524017.98,178317.93,51.490209,-0.21510184
Kennington Cross,Lambeth,531216.55,178356.36,51.488936,-0.11145482
Aylward Street,Tower Hamlets,535468.353,181437.941,51.515621,-0.049067627
Stainsby Road,Tower Hamlets,537238.204,181462.74,51.515419,-0.023565399
Albert Bridge Road,Wandsworth,527653.7,176646.79,51.474383,-0.16336235
Stewart's Road,Wandsworth,529471.27,176550.58,51.473108,-0.13723554
Mexfield Road,Wandsworth,524962.07,174625.24,51.456821,-0.2028021
Durant Street,Tower Hamlets,534286.011,182858.769,51.528673,-0.065550702
St. Bride Street,City,531565.002,181271.943,51.515051,-0.10534485
Esmond Street,Wandsworth,524345.4,175220.69,51.462304,-0.21146895
Upper Richmond Road,Wandsworth,524304.9,174930.54,51.459707,-0.21216068
Charlotte Terrace,Islington,530992.23,183630.54,51.536383,-0.11272144
Disraeli Road,Wandsworth,524022.15,175134.54,51.461602,-0.21614618
Shoreditch Court,Hackney,533924.03,184006.87,51.539075,-0.0703298
Belford House,Hackney,533938.11,183737.03,51.536654,-0.07023031
Carnegie Street,Islington,530753.69,183521.76,51.535459,-0.11620583
Islington Green,Islington,531682.69,183647.59,51.536376,-0.10277236
Felsham Road,Wandsworth,524049.5,175488.95,51.464777,-0.21563364
Erin Close,H&F,525387.94,177155.06,51.479464,-0.19579161
Rainville Road,H&F,523427.1,177582.05,51.483732,-0.22385226
Charing Cross Hospital,H&F,523823.55,177987.46,51.487286,-0.21801032
Vicarage Crescent,Wandsworth,526761.07,176456.07,51.472876,-0.17626701
Battersea Church Road,Wandsworth,526882.58,176914.01,51.476965,-0.17436146
Dorothy Road,Wandsworth,527651.66,175609.49,51.465064,-0.16376533
West Kensington Station,H&F,524645.4,178406.3,51.490871,-0.20602974
Stanley Grove,Wandsworth,528444.17,176230.57,51.470466,-0.15213045
Ethelburga Estate,Wandsworth,527546.27,176966.96,51.477283,-0.16478673
Normand Park,H&F,524747.35,177686.7,51.484378,-0.20481549
Richmond Way,H&F,523822.49,179441.42,51.500353,-0.21751507
Colet Gardens,H&F,523918,178413.07,51.491093,-0.21649338
Putney Rail Station,Wandsworth,523998.14,175035.31,51.460717,-0.21652616
Neville Gill Close,Wandsworth,525496.37,174408.43,51.454753,-0.1951972
Northfields,Wandsworth,525099.26,175087.68,51.460943,-0.20066801
Orbel Street,Wandsworth,527176.53,176651.24,51.474536,-0.17022492
Spanish Road,Wandsworth,526478.29,174929.86,51.459216,-0.18088532
Beryl Road,H&F,523511.94,178074.75,51.488136,-0.22247121
Osiers Road,Wandsworth,525234.12,175060.37,51.46067,-0.19873536
Bishop's Avenue,H&F,524088.13,176408.16,51.473037,-0.21474981
Maclise Road,H&F,524250.15,179146.3,51.497608,-0.21145598
Vereker Road,H&F,524415.96,178257.99,51.489582,-0.20939334
Phene Street,K&C,527307.16,177817.12,51.484985,-0.16791987
Westbridge Road,Wandsworth,527159.92,177000.76,51.477676,-0.17034407
Holden Street,Wandsworth,528024.68,176032.76,51.468782,-0.15824565
Hartington Road,Lambeth,530176.61,177098.25,51.477871,-0.12688886
Heath Road,Lambeth,528836.87,176039.6,51.468661,-0.1465594
Teversham Lane,Lambeth,530433.25,176912.89,51.47614,-0.12325887
Ashley Crescent,Wandsworth,528445.32,175864.51,51.467177,-0.15224894
Silverthorne Road,Wandsworth,528720.06,176503.57,51.472857,-0.14805964
Elysium Place,H&F,524572.75,176202.31,51.471079,-0.2078573
Parsons Green Station,H&F,524970.47,176658.01,51.47509,-0.20196897
Thorndike Close,K&C,526212.41,177335.2,51.480898,-0.18385357
Clarendon Road,K&C,524197.96,180883.25,51.51323,-0.21160801
St. Mark's Road,K&C,524030.45,181284.3,51.516871,-0.2138724
Usk Road,Wandsworth,526379.77,175401.93,51.46348,-0.18214099
Smugglers Way,Wandsworth,525719.73,175117.51,51.461075,-0.19173761
Grant Road Central,Wandsworth,526964.82,175549.88,51.46468,-0.17367129
Hibbert Street,Wandsworth,526495.67,175592.21,51.465171,-0.18040378
Brook Green South,H&F,523956.57,178776.4,51.494347,-0.21581896
Ravenscourt Park Station,H&F,522501.57,178726.74,51.494215,-0.23678468
Shepherd's Bush Road North,H&F,523487.44,179570.5,51.501586,-0.22229373
Evesham Street,K&C,523744.9,180678.48,51.511487,-0.21820461
All Saints' Road,K&C,524656.07,181541.47,51.519043,-0.20476442
World's End Place,K&C,526457.94,177441.51,51.481796,-0.1802894
Austin Road,Wandsworth,528202.6,176659.39,51.474376,-0.15545718
Crabtree Lane,H&F,523741.7,177501.59,51.482936,-0.21936087
